ASML,20101105,34.28,34.34,33.94,34.2,2342200
ASPS,20101105,27.74,28.26,27.6,28.26,170300
ASRV,20101105,1.6,1.65,1.53,1.65,6900
ASTC,20101105,1.14,1.15,1,1.03,489100
ASTE,20101105,31.37,31.95,31.11,31.94,136300
ASTI,20101105,4.3,4.57,4.29,4.42,363200
ASTIZ,20101105,0.5,0.5,0.48,0.48,4800
ASTM,20101105,2.56,2.96,2.47,2.83,3029300
ASUR,20101105,2.7,2.7,2.56,2.56,3300
ASYS,20101105,18.87,18.96,18.2,18.27,118000
ATAI,20101105,3.36,3.53,3.36,3.53,900
ATAX,20101105,5.44,5.46,5.41,5.44,52800
ATBC,20101105,2.17,2.17,2.17,2.17,100
ATEA,20101105,2.25,2.64,2.25,2.57,14700
ATEC,20101105,2.33,2.35,2.26,2.3,374400
ATHN,20101105,40.72,41.54,40,41.05,210200
ATHR,20101105,33.04,33.13,32.27,33,1998600
ATHX,20101105,2.8,2.86,2.75,2.76,91300
ATLO,20101105,20,20.77,19.85,20.77,8900
ATLS,20101105,30.65,31.07,30.1,30.5,763000
ATMI,20101105,18.48,18.88,18.3,18.71,166800
ATML,20101105,9.87,10.66,9.67,10.28,33035900
ATNI,20101105,40.22,40.22,38.9,39.15,69800
ATPG,20101105,15.12,15.72,14.95,15.11,2506800
ATRC,20101105,8.59,8.59,8.09,8.29,28900
ATRI,20101105,165.74,171,164.56,171,2200
ATRM,20101105,2.33,2.35,2.15,2.34,20000
ATRN,20101105,0.47,0.5,0.47,0.47,16000
ATRO,20101105,22.92,23.52,22.9,23.05,63200
ATSG,20101105,7.29,7.57,7.2,7.52,598900
ATVI,20101105,11.75,11.92,11.18,11.3,22237200
ATX,20101105,6.96,7,6.69,6.7,8500
AUBN,20101105,20.42,21.38,20.26,20.4,1600
AUDC,20101105,5.04,5.15,4.89,5.1,269600
AUTC,20101105,25.77,25.77,25.1,25.22,115000
AUTH,20101105,2.38,2.39,2.31,2.36,99900
AUXL,20101105,21.56,21.82,20.55,21.57,2913700
AVAV,20101105,23.43,23.64,23,23.62,132300
AVCA,20101105,5.45,5.67,5.06,5.5,71000
AVEO,20101105,16.17,17,15.81,16.84,146100
AVGO,20101105,25.36,25.7,25.15,25.37,629400
AVID,20101105,13.22,13.37,13.04,13.36,83900
AVII,20101105,2.02,2.05,1.98,2.02,1073800
AVNR,20101105,4.8,4.92,4.72,4.79,4796400
AVNW,20101105,4.7,4.7,4.37,4.38,1144800
AVTR,20101105,19.71,19.74,19.22,19.44,38000
AWRE,20101105,2.73,2.86,2.73,2.85,2300
AXAS,20101105,3.42,3.5,3.4,3.44,472700
AXTI,20101105,8.47,8.99,8.38,8.7,569800
AZPN,20101105,12.16,12.48,12.1,12.4,421300
BABY,20101105,13.5,13.63,13.46,13.6,137100
BAGL,20101105,11.45,11.79,11.45,11.77,94700
BAMM,20101105,6.75,6.94,6.7,6.89,27200
BANF,20101105,42.55,42.9,42.02,42.68,16500
BANR,20101105,1.7,1.89,1.7,1.85,2586400
BARI,20101105,30,30.26,29.91,29.96,14100
BASI,20101105,0.97,1.05,0.91,0.91,7400
BBBB,20101105,43.03,43.37,42.58,42.76,355700
BBBY,20101105,44.93,45.74,44.68,45.13,1942600
BBEP,20101105,19.34,19.42,19.17,19.42,614900
BBGI,20101105,4.41,5.04,4.41,5.04,19200
BBND,20101105,3.15,3.28,3.15,3.28,156800
BBNK,20101105,9,9.25,8.86,9.19,4900
BBOX,20101105,35.44,35.58,34.75,35.5,68200
BBRG,20101105,17.25,17.5,16.92,17.33,63400
BBSI,20101105,16.02,16.02,15.47,15.9,12800
BBXT,20101105,8.76,9.07,8.76,9,24100
BCAR,20101105,2.89,3.05,2.89,3.05,1700
BCBP,20101105,8.39,9.1,8.36,9.02,21000
BCON,20101105,0.27,0.27,0.26,0.27,1340000
BCPC,20101105,30.35,30.35,29.68,30.12,60500
BCRX,20101105,5.02,5.35,4.92,5.25,660500
BCSB,20101105,10.5,11.66,10.5,11,3000
BCSI,20101105,27.71,28.17,27.5,28,695400
BDCO,20101105,2.18,2.24,2.15,2.19,7600
BDE,20101105,7.09,7.1,6.95,7.09,104900
BDGE,20101105,26.2,26.23,24.9,25.54,7000
BDMS,20101105,18.01,18.01,18.01,18.01,200
BDSI,20101105,3.6,3.64,3.54,3.59,93400
BEAT,20101105,5.66,5.9,5.6,5.83,184500
BEAV,20101105,37.4,38.94,37.28,38.46,1318300
BEBE,20101105,6.6,6.89,6.42,6.67,1863600
BECN,20101105,15.28,15.63,15.27,15.61,384700
BELFA,20101105,25.23,26.74,25.01,25.87,12800
BELFB,20101105,24.24,25.34,23.66,24.68,37000
BEST,20101105,1.18,1.22,1.16,1.2,99600
BEXP,20101105,23.08,23.29,22.73,23.17,1924800
BFED,20101105,11.25,11.3,11.2,11.27,3600
BFIN,20101105,9.77,9.86,9.71,9.85,26800
BFLY,20101105,2.4,2.51,2.4,2.5,9800
BFSB,20101105,1.99,3.73,1.8,2.5,93700
BGCP,20101105,7.56,7.71,7.55,7.61,796700
BGFV,20101105,14.25,14.45,14.1,14.27,37600
BHLB,20101105,19.85,19.85,19.54,19.67,25600
BIB,20101105,54.55,54.55,53.53,54.11,2400
BICK,20101105,34.46,34.46,34.19,34.31,42900
BIDU,20101105,110.03,110.5,108.37,108.8,8387400
BIDZ,20101105,1.27,1.34,1.27,1.32,13500
BIIB,20101105,62.49,62.8,61.82,62.78,2736000
BIOC,20101105,4.39,4.41,4.12,4.2,22000
BIOD,20101105,1.94,1.94,1.85,1.88,925800
